timestamp,temperature,humidity,wind_speed,rainfall,heatwave,condition,load_national,load_sldc_delhi,load_sldc_chennai,load_northern,load_southern,load_western,load_eastern
2023-01-02T03:00:00Z,10.9,66.7,1.2,0.0,0,Partly Cloudy,59378,2494,1900,16032,11876,14844,7125
2023-01-02T04:00:00Z,9.2,80.2,3.3,0.0,0,Partly Cloudy,63805,2680,2042,17227,12761,15951,7657
2023-01-02T05:00:00Z,7.8,62.8,4.9,0.0,0,Partly Cloudy,70761,2972,2264,19105,14152,17690,8491
2023-01-02T06:00:00Z,8.1,63.9,5.2,0.0,0,Partly Cloudy,76538,3215,2449,20665,15308,19134,9185
2023-01-02T07:00:00Z,7.2,79.9,2.3,0.0,0,Partly Cloudy,87278,3666,2793,23565,17456,21820,10473
2023-01-02T08:00:00Z,6.2,66.9,1.6,0.0,0,Partly Cloudy,98489,4137,3152,26592,19698,24622,11819
2023-01-02T09:00:00Z,4.7,72.5,2.4,0.0,0,Partly Cloudy,110715,4650,3543,29893,22143,27679,13286
2023-01-02T10:00:00Z,5.7,68.0,4.5,0.0,0,Partly Cloudy,117115,4919,3748,31621,23423,29279,14054
2023-01-02T11:00:00Z,8.2,74.9,1.6,0.0,0,Partly Cloudy,127175,5341,4070,34337,25435,31794,15261
2023-01-02T12:00:00Z,9.5,71.7,2.0,0.0,0,Partly Cloudy,131785,5535,4217,35582,26357,32946,15814
2023-01-02T13:00:00Z,11.3,68.3,3.8,0.0,0,Partly Cloudy,137818,5788,4410,37211,27564,34454,16538
2023-01-02T14:00:00Z,11.1,68.1,3.9,0.0,0,Partly Cloudy,137921,5793,4413,37239,27584,34480,16551
2023-01-02T15:00:00Z,16.4,66.7,2.1,0.0,0,Partly Cloudy,138190,5804,4422,37311,27638,34548,16583
2023-01-02T16:00:00Z,13.6,69.6,4.9,0.0,0,Partly Cloudy,132384,5560,4236,35744,26477,33096,15886
2023-01-02T17:00:00Z,17.8,65.7,4.5,0.0,0,Partly Cloudy,129230,5428,4135,34892,25846,32308,15508
2023-01-02T18:00:00Z,16.9,60.3,2.4,0.0,0,Partly Cloudy,117613,4940,3764,31756,23523,29403,14114
2023-01-02T19:00:00Z,17.8,65.3,3.8,0.0,0,Partly Cloudy,109848,4614,3515,29659,21970,27462,13182
2023-01-02T20:00:00Z,18.1,70.7,3.2,0.0,0,Partly Cloudy,101670,4270,3253,27451,20334,25418,12200
2023-01-02T21:00:00Z,18.8,58.8,2.2,0.0,0,Partly Cloudy,88536,3719,2833,23905,17707,22134,10624
2023-01-02T22:00:00Z,16.9,67.6,4.1,0.0,0,Partly Cloudy,78133,3282,2500,21096,15627,19533,9376
2023-01-02T23:00:00Z,15.1,57.4,3.0,0.0,0,Partly Cloudy,70887,2977,2268,19139,14177,17722,8506
2023-01-03T00:00:00Z,15.4,58.6,3.7,0.0,0,Partly Cloudy,63883,2683,2044,17248,12777,15971,7666
2023-01-03T01:00:00Z,12.3,67.1,3.6,0.0,0,Partly Cloudy,58018,2437,1857,15665,11604,14504,6962
2023-01-03T02:00:00Z,12.6,69.0,4.8,0.0,0,Partly Cloudy,59279,2490,1897,16005,11856,14820,7113
2023-01-03T03:00:00Z,8.4,63.6,4.1,0.0,0,Partly Cloudy,60006,2520,1920,16202,12001,15002,7201
2023-01-03T04:00:00Z,9.8,86.9,4.2,0.0,0,Partly Cloudy,64784,2721,2073,17492,12957,16196,7774
2023-01-03T05:00:00Z,9.3,71.1,3.1,0.0,0,Partly Cloudy,70745,2971,2264,19101,14149,17686,8489
2023-01-03T06:00:00Z,5.7,68.5,2.9,0.0,0,Partly Cloudy,78291,3288,2505,21139,15658,19573,9395
2023-01-03T07:00:00Z,9.7,58.3,4.3,0.0,0,Partly Cloudy,85991,3612,2752,23218,17198,21498,10319
2023-01-03T08:00:00Z,5.4,75.2,3.6,0.0,0,Partly Cloudy,97078,4077,3106,26211,19416,24270,11649
2023-01-03T09:00:00Z,5.2,73.3,2.6,0.0,0,Partly Cloudy,109077,4581,3490,29451,21815,27269,13089
2023-01-03T10:00:00Z,6.9,65.8,6.1,0.0,0,Partly Cloudy,119311,5011,3818,32214,23862,29828,14317
2023-01-03T11:00:00Z,4.8,71.0,2.7,0.0,0,Partly Cloudy,127932,5373,4094,34542,25586,31983,15352
2023-01-03T12:00:00Z,7.9,68.0,4.1,0.0,0,Partly Cloudy,134361,5643,4300,36277,26872,33590,16123
2023-01-03T13:00:00Z,8.7,66.5,2.9,0.0,0,Partly Cloudy,136570,5736,4370,36874,27314,34142,16388
2023-01-03T14:00:00Z,14.7,67.2,2.0,0.0,0,Partly Cloudy,139831,5873,4475,37754,27966,34958,16780
2023-01-03T15:00:00Z,16.8,69.3,1.7,0.0,0,Partly Cloudy,136773,5744,4377,36929,27355,34193,16413
2023-01-03T16:00:00Z,17.0,60.5,4.0,0.0,0,Partly Cloudy,134252,5639,4296,36248,26850,33563,16110
2023-01-03T17:00:00Z,14.9,64.8,1.0,0.0,0,Partly Cloudy,125679,5279,4022,33933,25136,31420,15081
2023-01-03T18:00:00Z,16.9,57.8,5.5,0.0,0,Partly Cloudy,116834,4907,3739,31545,23367,29208,14020
2023-01-03T19:00:00Z,17.2,64.6,5.2,0.0,0,Partly Cloudy,107094,4498,3427,28915,21419,26774,12851
2023-01-03T20:00:00Z,19.8,62.7,2.3,0.0,0,Partly Cloudy,98926,4155,3166,26710,19785,24732,11871
2023-01-03T21:00:00Z,18.2,60.4,3.6,0.0,0,Partly Cloudy,87464,3673,2799,23615,17493,21866,10496
2023-01-03T22:00:00Z,17.4,67.1,5.4,0.0,0,Partly Cloudy,76707,3222,2455,20711,15341,19177,9205
2023-01-03T23:00:00Z,19.5,53.0,3.3,0.0,0,Partly Cloudy,70540,2963,2257,19046,14108,17635,8465
2023-01-04T00:00:00Z,15.5,61.6,3.3,0.0,0,Partly Cloudy,62811,2638,2010,16959,12562,15703,7537
2023-01-04T01:00:00Z,12.7,70.4,3.9,0.0,0,Partly Cloudy,58540,2459,1873,15806,11708,14635,7025
2023-01-04T02:00:00Z,13.4,67.3,4.5,0.0,0,Partly Cloudy,58752,2468,1880,15863,11750,14688,7050
2023-01-04T03:00:00Z,9.2,65.1,4.4,0.0,0,Partly Cloudy,60104,2524,1923,16228,12021,15026,7212
2023-01-04T04:00:00Z,9.0,68.6,5.0,0.0,0,Partly Cloudy,62692,2633,2006,16927,12538,15673,7523
2023-01-04T05:00:00Z,8.6,67.2,3.2,0.0,0,Partly Cloudy,71132,2988,2276,19206,14226,17783,8536
2023-01-04T06:00:00Z,8.1,72.5,5.1,0.0,0,Partly Cloudy,78195,3284,2502,21113,15639,19549,9383
2023-01-04T07:00:00Z,7.3,67.3,3.9,0.0,0,Partly Cloudy,87744,3685,2808,23691,17549,21936,10529
2023-01-04T08:00:00Z,6.2,72.4,2.5,0.0,0,Partly Cloudy,100853,4236,3227,27230,20171,25213,12102
2023-01-04T09:00:00Z,4.7,64.1,4.9,0.0,0,Partly Cloudy,109735,4609,3512,29628,21947,27434,13168
2023-01-04T10:00:00Z,7.8,71.7,3.5,0.0,0,Partly Cloudy,117439,4932,3758,31709,23488,29360,14093
2023-01-04T11:00:00Z,7.9,65.2,4.7,0.0,0,Partly Cloudy,126695,5321,4054,34208,25339,31674,15203
2023-01-04T12:00:00Z,7.8,67.0,4.0,0.0,0,Partly Cloudy,132606,5569,4243,35804,26521,33152,15913
2023-01-04T13:00:00Z,9.3,69.1,3.8,0.0,0,Partly Cloudy,136705,5742,4375,36910,27341,34176,16405
2023-01-04T14:00:00Z,11.3,68.0,1.8,0.0,0,Partly Cloudy,136999,5754,4384,36990,27400,34250,16440
2023-01-04T15:00:00Z,12.5,65.2,3.9,0.0,0,Partly Cloudy,139084,5842,4451,37553,27817,34771,16690
2023-01-04T16:00:00Z,16.3,63.6,3.5,0.0,0,Partly Cloudy,132080,5547,4227,35662,26416,33020,15850
2023-01-04T17:00:00Z,16.3,62.9,3.9,0.0,0,Partly Cloudy,125879,5287,4028,33987,25176,31470,15105
2023-01-04T18:00:00Z,18.0,71.2,3.4,0.0,0,Partly Cloudy,118997,4998,3808,32129,23799,29749,14280
2023-01-04T19:00:00Z,18.9,61.0,3.8,0.0,0,Partly Cloudy,108800,4570,3482,29376,21760,27200,13056
2023-01-04T20:00:00Z,18.2,59.5,3.5,0.0,0,Partly Cloudy,98940,4155,3166,26714,19788,24735,11873
2023-01-04T21:00:00Z,20.0,67.3,6.1,0.0,0,Partly Cloudy,86980,3653,2783,23485,17396,21745,10438
2023-01-04T22:00:00Z,18.5,64.2,6.1,0.0,0,Partly Cloudy,77200,3242,2470,20844,15440,19300,9264
2023-01-04T23:00:00Z,15.0,62.0,1.0,0.0,0,Partly Cloudy,69183,2906,2214,18679,13837,17296,8302
2023-01-05T00:00:00Z,13.9,66.3,3.9,0.0,0,Partly Cloudy,65638,2757,2100,17722,13128,16410,7877
2023-01-05T01:00:00Z,15.0,62.1,2.4,0.0,0,Partly Cloudy,59948,2518,1918,16186,11990,14987,7194
2023-01-05T02:00:00Z,10.0,76.7,4.9,0.0,0,Partly Cloudy,57420,2412,1837,15503,11484,14355,6890
2023-01-05T03:00:00Z,7.9,75.3,3.4,0.0,0,Partly Cloudy,60843,2555,1947,16428,12169,15211,7301
2023-01-05T04:00:00Z,6.6,66.2,3.5,0.0,0,Partly Cloudy,63443,2665,2030,17130,12689,15861,7613
2023-01-05T05:00:00Z,7.1,72.1,2.2,0.0,0,Partly Cloudy,69626,2924,2228,18799,13925,17406,8355
2023-01-05T06:00:00Z,7.0,71.6,4.4,0.0,0,Partly Cloudy,76801,3226,2458,20736,15360,19200,9216
2023-01-05T07:00:00Z,3.9,76.9,3.9,0.0,0,Partly Cloudy,86981,3653,2783,23485,17396,21745,10438
2023-01-05T08:00:00Z,8.4,68.9,4.9,0.0,0,Partly Cloudy,98400,4133,3149,26568,19680,24600,11808
2023-01-05T09:00:00Z,9.3,76.6,3.2,0.0,0,Partly Cloudy,109925,4617,3518,29680,21985,27481,13191
2023-01-05T10:00:00Z,7.8,75.4,2.3,0.0,0,Partly Cloudy,119310,5011,3818,32214,23862,29828,14317
2023-01-05T11:00:00Z,9.4,59.0,2.1,0.0,0,Partly Cloudy,124394,5225,3981,33586,24879,31098,14927
2023-01-05T12:00:00Z,8.6,71.8,5.3,0.0,0,Partly Cloudy,133340,5600,4267,36002,26668,33335,16001
2023-01-05T13:00:00Z,12.9,59.1,1.5,0.0,0,Partly Cloudy,137214,5763,4391,37048,27443,34304,16466
2023-01-05T14:00:00Z,12.6,66.0,1.0,0.0,0,Partly Cloudy,138548,5819,4434,37408,27710,34637,16626
2023-01-05T15:00:00Z,11.6,70.0,3.9,0.0,0,Partly Cloudy,136153,5718,4357,36761,27231,34038,16338
2023-01-05T16:00:00Z,14.3,60.1,3.4,0.0,0,Partly Cloudy,134397,5645,4301,36287,26879,33599,16128
2023-01-05T17:00:00Z,14.8,67.6,2.9,0.0,0,Partly Cloudy,125889,5287,4028,33990,25178,31472,15107
2023-01-05T18:00:00Z,17.1,58.8,2.8,0.0,0,Partly Cloudy,117050,4916,3746,31604,23410,29262,14046
2023-01-05T19:00:00Z,20.8,62.3,2.7,0.0,0,Partly Cloudy,109015,4579,3488,29434,21803,27254,13082
2023-01-05T20:00:00Z,17.9,62.4,4.2,0.0,0,Partly Cloudy,99228,4168,3175,26792,19846,24807,11907
2023-01-05T21:00:00Z,17.0,61.1,3.2,0.0,0,Partly Cloudy,85117,3575,2724,22982,17023,21279,10214
2023-01-05T22:00:00Z,15.0,71.8,5.5,0.0,0,Partly Cloudy,77852,3270,2491,21020,15570,19463,9342
2023-01-05T23:00:00Z,17.1,65.5,7.2,0.0,0,Partly Cloudy,71141,2988,2277,19208,14228,17785,8537
2023-01-06T00:00:00Z,14.8,60.3,1.6,0.0,0,Partly Cloudy,63620,2672,2036,17177,12724,15905,7634
2023-01-06T01:00:00Z,12.4,59.2,2.7,0.0,0,Partly Cloudy,58049,2438,1858,15673,11610,14512,6966
2023-01-06T02:00:00Z,14.5,69.7,3.5,0.0,0,Partly Cloudy,59748,2509,1912,16132,11950,14937,7170
2023-01-06T03:00:00Z,10.6,62.9,5.3,0.0,0,Partly Cloudy,59993,2520,1920,16198,11999,14998,7199
2023-01-06T04:00:00Z,7.5,67.8,2.4,0.0,0,Partly Cloudy,61716,2592,1975,16663,12343,15429,7406
2023-01-06T05:00:00Z,9.2,77.4,1.8,0.0,0,Partly Cloudy,70460,2959,2255,19024,14092,17615,8455
2023-01-06T06:00:00Z,5.8,67.2,2.8,0.0,0,Partly Cloudy,77100,3238,2467,20817,15420,19275,9252
2023-01-06T07:00:00Z,6.3,65.2,3.8,0.0,0,Partly Cloudy,87803,3688,2810,23707,17561,21951,10536
2023-01-06T08:00:00Z,5.7,65.1,2.8,0.0,0,Partly Cloudy,99207,4167,3175,26786,19841,24802,11905
2023-01-06T09:00:00Z,7.0,64.1,3.6,0.0,0,Partly Cloudy,109640,4605,3508,29603,21928,27410,13157
2023-01-06T10:00:00Z,4.3,73.1,2.7,0.0,0,Partly Cloudy,119150,5004,3813,32171,23830,29788,14298
2023-01-06T11:00:00Z,6.6,60.2,1.5,0.0,0,Partly Cloudy,126875,5329,4060,34256,25375,31719,15225
2023-01-06T12:00:00Z,9.4,63.3,4.3,0.0,0,Partly Cloudy,131233,5512,4199,35433,26247,32808,15748
2023-01-06T13:00:00Z,10.4,61.2,2.7,0.0,0,Partly Cloudy,137312,5767,4394,37074,27462,34328,16477
2023-01-06T14:00:00Z,10.7,65.2,4.7,0.0,0,Partly Cloudy,137937,5793,4414,37243,27587,34484,16552
2023-01-06T15:00:00Z,14.8,59.5,4.1,0.0,0,Partly Cloudy,138985,5837,4448,37526,27797,34746,16678
2023-01-06T16:00:00Z,11.3,62.9,4.2,0.0,0,Partly Cloudy,132983,5585,4255,35905,26597,33246,15958
2023-01-06T17:00:00Z,16.8,61.1,3.6,0.0,0,Partly Cloudy,126631,5319,4052,34190,25326,31658,15196
2023-01-06T18:00:00Z,19.0,64.3,3.9,0.0,0,Partly Cloudy,117971,4955,3775,31852,23594,29493,14157
2023-01-06T19:00:00Z,17.1,61.8,4.0,0.0,0,Partly Cloudy,108234,4546,3463,29223,21647,27058,12988
2023-01-06T20:00:00Z,18.4,73.7,4.5,0.0,0,Partly Cloudy,97910,4112,3133,26436,19582,24478,11749
2023-01-06T21:00:00Z,19.6,60.7,1.1,0.0,0,Partly Cloudy,86653,3639,2773,23396,17331,21663,10398
2023-01-06T22:00:00Z,14.4,63.5,3.5,0.0,0,Partly Cloudy,80148,3366,2565,21640,16030,20037,9618
2023-01-06T23:00:00Z,16.7,63.1,4.5,0.0,0,Partly Cloudy,67131,2820,2148,18125,13426,16783,8056
2023-01-07T00:00:00Z,15.4,68.7,1.7,0.0,0,Partly Cloudy,57136,2400,1828,15427,11427,14284,6856
2023-01-07T01:00:00Z,14.1,63.4,4.3,0.0,0,Partly Cloudy,54943,2308,1758,14835,10989,13736,6593
2023-01-07T02:00:00Z,12.3,67.6,2.9,0.0,0,Partly Cloudy,49989,2100,1600,13497,9998,12497,5999
2023-01-07T03:00:00Z,11.7,62.4,3.6,0.0,0,Partly Cloudy,51645,2169,1653,13944,10329,12911,6197
2023-01-07T04:00:00Z,9.7,69.3,4.7,0.0,0,Partly Cloudy,55151,2316,1765,14891,11030,13788,6618
2023-01-07T05:00:00Z,7.4,63.9,3.0,0.0,0,Partly Cloudy,61855,2598,1979,16701,12371,15464,7423
2023-01-07T06:00:00Z,7.9,63.9,4.5,0.0,0,Partly Cloudy,70378,2956,2252,19002,14076,17594,8445
2023-01-07T07:00:00Z,6.8,78.5,2.6,0.0,0,Partly Cloudy,75816,3184,2426,20470,15163,18954,9098
2023-01-07T08:00:00Z,3.3,78.3,4.3,0.0,0,Partly Cloudy,86427,3630,2766,23335,17285,21607,10371
2023-01-07T09:00:00Z,6.6,63.6,6.4,0.0,0,Partly Cloudy,95833,4025,3067,25875,19167,23958,11500
2023-01-07T10:00:00Z,7.0,72.6,4.1,0.0,0,Partly Cloudy,104505,4389,3344,28216,20901,26126,12541
2023-01-07T11:00:00Z,6.6,71.6,5.8,0.0,0,Partly Cloudy,113200,4754,3622,30564,22640,28300,13584
2023-01-07T12:00:00Z,11.4,64.2,2.3,0.0,0,Partly Cloudy,117074,4917,3746,31610,23415,29268,14049
2023-01-07T13:00:00Z,10.5,72.7,1.5,0.0,0,Partly Cloudy,122605,5149,3923,33103,24521,30651,14713
2023-01-07T14:00:00Z,11.8,64.5,2.3,0.0,0,Partly Cloudy,119993,5040,3840,32398,23999,29998,14399
2023-01-07T15:00:00Z,14.8,65.5,2.0,0.0,0,Partly Cloudy,119215,5007,3815,32188,23843,29804,14306
2023-01-07T16:00:00Z,14.5,73.6,3.2,0.0,0,Partly Cloudy,115421,4848,3693,31164,23084,28855,13851
2023-01-07T17:00:00Z,15.9,63.2,1.0,0.0,0,Partly Cloudy,111520,4684,3569,30110,22304,27880,13382
2023-01-07T18:00:00Z,16.9,67.5,5.7,0.0,0,Partly Cloudy,105588,4435,3379,28509,21118,26397,12671
2023-01-07T19:00:00Z,17.4,58.3,6.6,0.0,0,Partly Cloudy,95749,4021,3064,25852,19150,23937,11490
2023-01-07T20:00:00Z,18.0,63.4,3.7,0.0,0,Partly Cloudy,86321,3625,2762,23307,17264,21580,10359
2023-01-07T21:00:00Z,16.9,61.3,3.5,0.0,0,Partly Cloudy,76658,3220,2453,20698,15332,19164,9199
2023-01-07T22:00:00Z,16.1,65.0,3.2,0.0,0,Partly Cloudy,70556,2963,2258,19050,14111,17639,8467
2023-01-07T23:00:00Z,12.3,71.8,5.0,0.0,0,Partly Cloudy,58914,2474,1885,15907,11783,14728,7070
2023-01-08T00:00:00Z,14.5,63.4,1.8,0.0,0,Partly Cloudy,54826,2303,1754,14803,10965,13706,6579
2023-01-08T01:00:00Z,11.9,75.3,4.6,0.0,0,Partly Cloudy,53741,2257,1720,14510,10748,13435,6449
2023-01-08T02:00:00Z,13.1,60.3,2.9,0.0,0,Partly Cloudy,51593,2167,1651,13930,10319,12898,6191
2023-01-08T03:00:00Z,8.6,71.8,3.2,0.0,0,Partly Cloudy,51765,2174,1656,13977,10353,12941,6212
2023-01-08T04:00:00Z,10.1,69.7,3.1,0.0,0,Partly Cloudy,57151,2400,1829,15431,11430,14288,6858
2023-01-08T05:00:00Z,6.1,72.5,4.2,0.0,0,Partly Cloudy,61027,2563,1953,16477,12205,15257,7323
2023-01-08T06:00:00Z,7.3,62.6,4.6,0.0,0,Partly Cloudy,68525,2878,2193,18502,13705,17131,8223
2023-01-08T07:00:00Z,5.4,75.0,2.7,0.0,0,Partly Cloudy,75614,3176,2420,20416,15123,18904,9074
2023-01-08T08:00:00Z,3.7,73.7,2.0,0.0,0,Partly Cloudy,88594,3721,2835,23920,17719,22148,10631
2023-01-08T09:00:00Z,3.1,79.4,3.8,0.0,0,Partly Cloudy,95555,4013,3058,25800,19111,23889,11467
2023-01-08T10:00:00Z,6.0,71.5,3.5,0.0,0,Partly Cloudy,105553,4433,3378,28499,21111,26388,12666
2023-01-08T11:00:00Z,7.9,69.3,3.1,0.0,0,Partly Cloudy,111509,4683,3568,30107,22302,27877,13381
2023-01-08T12:00:00Z,9.5,59.2,1.9,0.0,0,Partly Cloudy,118108,4961,3779,31889,23622,29527,14173
2023-01-08T13:00:00Z,10.7,66.2,3.5,0.0,0,Partly Cloudy,121178,5089,3878,32718,24236,30294,14541
2023-01-08T14:00:00Z,11.2,63.0,3.7,0.0,0,Partly Cloudy,120796,5073,3865,32615,24159,30199,14496
2023-01-08T15:00:00Z,14.2,56.9,4.7,0.0,0,Partly Cloudy,121328,5096,3882,32759,24266,30332,14559
2023-01-08T16:00:00Z,15.4,69.7,5.5,0.0,0,Partly Cloudy,118433,4974,3790,31977,23687,29608,14212
2023-01-08T17:00:00Z,13.5,59.4,2.8,0.0,0,Partly Cloudy,111609,4688,3571,30134,22322,27902,13393
2023-01-08T18:00:00Z,18.0,59.9,3.7,0.0,0,Partly Cloudy,103322,4340,3306,27897,20664,25830,12399
2023-01-08T19:00:00Z,16.9,57.0,2.4,0.0,0,Partly Cloudy,94049,3950,3010,25393,18810,23512,11286
2023-01-08T20:00:00Z,16.5,69.5,2.4,0.0,0,Partly Cloudy,89647,3765,2869,24205,17929,22412,10758
2023-01-08T21:00:00Z,18.5,64.2,2.5,0.0,0,Partly Cloudy,78145,3282,2501,21099,15629,19536,9377
2023-01-08T22:00:00Z,16.3,65.0,6.6,0.0,0,Partly Cloudy,68631,2883,2196,18530,13726,17158,8236
2023-01-08T23:00:00Z,18.0,60.0,3.5,0.0,0,Partly Cloudy,63523,2668,2033,17151,12705,15881,7623
2023-01-09T00:00:00Z,14.1,74.5,4.3,0.0,0,Partly Cloudy,62687,2633,2006,16925,12537,15672,7522
2023-01-09T01:00:00Z,14.5,70.1,4.2,0.0,0,Partly Cloudy,57450,2413,1838,15512,11490,14362,6894
2023-01-09T02:00:00Z,10.9,65.8,3.4,0.0,0,Partly Cloudy,58705,2466,1879,15850,11741,14676,7045
2023-01-09T03:00:00Z,10.7,60.5,4.0,0.0,0,Partly Cloudy,60067,2523,1922,16218,12013,15017,7208
2023-01-09T04:00:00Z,9.8,73.0,4.5,0.0,0,Partly Cloudy,63913,2684,2045,17257,12783,15978,7670
2023-01-09T05:00:00Z,7.7,60.3,4.0,0.0,0,Partly Cloudy,70019,2941,2241,18905,14004,17505,8402
2023-01-09T06:00:00Z,7.2,62.5,2.2,0.0,0,Partly Cloudy,79384,3334,2540,21434,15877,19846,9526
2023-01-09T07:00:00Z,6.1,72.9,3.5,0.0,0,Partly Cloudy,87880,3691,2812,23728,17576,21970,10546
2023-01-09T08:00:00Z,7.4,66.2,3.6,0.0,0,Partly Cloudy,97725,4104,3127,26386,19545,24431,11727
2023-01-09T09:00:00Z,5.6,68.2,3.8,0.0,0,Partly Cloudy,108141,4542,3461,29198,21628,27035,12977
2023-01-09T10:00:00Z,8.7,63.7,3.3,0.0,0,Partly Cloudy,117913,4952,3773,31837,23583,29478,14150
2023-01-09T11:00:00Z,9.9,68.5,4.7,0.0,0,Partly Cloudy,125008,5250,4000,33752,25002,31252,15001
2023-01-09T12:00:00Z,9.4,72.2,3.6,0.0,0,Partly Cloudy,134477,5648,4303,36309,26895,33619,16137
2023-01-09T13:00:00Z,9.7,74.7,6.3,0.0,0,Partly Cloudy,136791,5745,4377,36934,27358,34198,16415
2023-01-09T14:00:00Z,11.3,74.1,5.4,0.0,0,Partly Cloudy,137973,5795,4415,37253,27595,34493,16557
2023-01-09T15:00:00Z,12.9,64.6,1.9,0.0,0,Partly Cloudy,136124,5717,4356,36753,27225,34031,16335
2023-01-09T16:00:00Z,13.5,61.9,3.5,0.0,0,Partly Cloudy,133479,5606,4271,36039,26696,33370,16017
2023-01-09T17:00:00Z,18.6,58.2,4.7,0.0,0,Partly Cloudy,126534,5314,4049,34164,25307,31634,15184
2023-01-09T18:00:00Z,17.1,67.3,2.2,0.0,0,Partly Cloudy,118899,4994,3805,32103,23780,29725,14268
2023-01-09T19:00:00Z,18.0,66.0,3.8,0.0,0,Partly Cloudy,111662,4690,3573,30149,22332,27916,13399
2023-01-09T20:00:00Z,17.0,61.3,2.8,0.0,0,Partly Cloudy,97614,4100,3124,26356,19523,24404,11714
2023-01-09T21:00:00Z,16.8,70.0,5.2,0.0,0,Partly Cloudy,87160,3661,2789,23533,17432,21790,10459
2023-01-09T22:00:00Z,15.9,66.9,2.8,0.0,0,Partly Cloudy,78880,3313,2524,21298,15776,19720,9466
2023-01-09T23:00:00Z,16.5,56.7,5.4,0.0,0,Partly Cloudy,71925,3021,2302,19420,14385,17981,8631
2023-01-10T00:00:00Z,14.1,63.5,3.8,0.0,0,Partly Cloudy,63766,2678,2041,17217,12753,15942,7652
2023-01-10T01:00:00Z,14.5,75.3,3.3,0.0,0,Partly Cloudy,58379,2452,1868,15762,11676,14595,7005
2023-01-10T02:00:00Z,9.9,63.9,3.5,0.0,0,Partly Cloudy,60116,2525,1924,16231,12023,15029,7214
